id,invoice_id,tanggal_transaksi,customer_id,nama_pelanggan,jenis_kelamin,umur_pelanggan,product_id,quantity,jenis_pembayaran,jenis_pesanan,nama_produk,kategori_produk,jenis_produk,harga_produk,total_penjualan,tipe_pembayaran,diskon,total_pembayaran
1,1,4/11/22,44,Mira Rosita,F,24,2,2,QRIS-OVO,Dine-In,Indomie Ayam Spesial,makanan,mie-kuah,12000,24000,QRIS,1200,22800
2,2,8/1/22,10,Tia Sari,F,22,2,2,CASH,Delivery,Indomie Ayam Spesial,makanan,mie-kuah,12000,24000,CASH,0,24000
3,3,4/3/22,62,Anisa Rahmawati,F,31,15,1,QRIS-OTHERS,Delivery,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,12000,QRIS,600,11400
4,4,3/19/22,48,Wulan Lestari,F,27,17,3,CASH,Dine-In,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,36000,CASH,0,36000
5,5,4/29/22,87,Ismail Prabowo,M,42,13,2,QRIS-OVO,Dine-In,Indomie Rasa Sop Buntut,makanan,mie-kuah,12000,24000,QRIS,1200,22800
6,6,7/23/22,80,Niken Kusuma,F,24,2,1,CASH,Delivery,Indomie Ayam Spesial,makanan,mie-kuah,12000,12000,CASH,0,12000
7,7,2/4/22,15,Roni Hartanto,M,37,3,1,CASH,Dine-In,Indomie Baso Sapi,makanan,mie-kuah,12000,12000,CASH,0,12000
8,8,1/8/22,94,Ayu Kurnia,F,26,13,2,QRIS-OVO,Dine-In,Indomie Rasa Sop Buntut,makanan,mie-kuah,12000,24000,QRIS,1200,22800
9,9,1/3/22,6,Rini Susanti,F,29,18,2,QRIS-DANA,Dine-In,Indomie Soto Mie,makanan,mie-kuah,12000,24000,QRIS,1200,22800
10,10,6/11/22,86,Nining Susanti,F,29,5,1,QRIS-OVO,Delivery,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,9000,QRIS,450,8550
11,11,1/8/22,41,Gilang Wijaya,M,28,4,2,QRIS-GOPAY,Delivery,Indomie Goreng Aceh,makanan,mie-goreng,9000,18000,QRIS,900,17100
12,12,1/26/22,43,Ahmad Santoso,M,33,8,3,CASH,Delivery,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,27000,CASH,0,27000
13,13,1/11/22,46,Rita Susanti,F,29,5,1,QRIS-OTHERS,Dine-In,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,9000,QRIS,450,8550
14,14,7/15/22,58,Shinta Aulia,F,23,12,2,QRIS-GOPAY,Delivery,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,24000,QRIS,1200,22800
15,15,8/19/22,20,Desi Kusuma,F,24,2,1,CASH,Delivery,Indomie Ayam Spesial,makanan,mie-kuah,12000,12000,CASH,0,12000
16,16,5/18/22,9,Iwan Surya,M,33,12,1,QRIS-OVO,Delivery,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,12000,QRIS,600,11400
17,17,4/13/22,73,Dwi Putra,M,34,18,2,QRIS-GOPAY,Dine-In,Indomie Soto Mie,makanan,mie-kuah,12000,24000,QRIS,1200,22800
18,18,6/1/22,8,Diah Lestari,F,27,12,1,QRIS-OTHERS,Dine-In,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,12000,QRIS,600,11400
19,19,5/17/22,66,Dewi Susanti,F,29,15,3,QRIS-GOPAY,Dine-In,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,36000,QRIS,1800,34200
20,20,2/27/22,6,Rini Susanti,F,29,2,1,QRIS-SHOPEEPAY,Dine-In,Indomie Ayam Spesial,makanan,mie-kuah,12000,12000,QRIS,600,11400
21,21,6/14/22,14,Rika Kurnia,F,26,4,2,QRIS-OVO,Delivery,Indomie Goreng Aceh,makanan,mie-goreng,9000,18000,QRIS,900,17100
22,22,8/21/22,10,Tia Sari,F,22,9,2,QRIS-OVO,Delivery,Indomie Goreng Spesial,makanan,mie-goreng,9000,18000,QRIS,900,17100
23,23,6/20/22,66,Dewi Susanti,F,29,13,1,QRIS-OTHERS,Delivery,Indomie Rasa Sop Buntut,makanan,mie-kuah,12000,12000,QRIS,600,11400
24,24,5/3/22,82,Tika Rahmawati,F,31,12,1,QRIS-SHOPEEPAY,Dine-In,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,12000,QRIS,600,11400
25,25,3/15/22,40,Eka Kusuma,F,24,2,3,QRIS-DANA,Dine-In,Indomie Ayam Spesial,makanan,mie-kuah,12000,36000,QRIS,1800,34200
26,26,8/20/22,6,Rini Susanti,F,29,12,2,QRIS-SHOPEEPAY,Dine-In,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,24000,QRIS,1200,22800
27,27,8/13/22,7,Harry Prabowo,M,42,4,3,QRIS-SHOPEEPAY,Delivery,Indomie Goreng Aceh,makanan,mie-goreng,9000,27000,QRIS,1350,25650
28,28,7/17/22,73,Dwi Putra,M,34,3,2,QRIS-GOPAY,Delivery,Indomie Baso Sapi,makanan,mie-kuah,12000,24000,QRIS,1200,22800
29,29,3/29/22,78,Sinta Aulia,F,23,3,3,QRIS-SHOPEEPAY,Dine-In,Indomie Baso Sapi,makanan,mie-kuah,12000,36000,QRIS,1800,34200
30,30,5/18/22,62,Anisa Rahmawati,F,31,14,1,CASH,Delivery,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,12000,CASH,0,12000
31,31,8/3/22,8,Diah Lestari,F,27,6,1,QRIS-OTHERS,Delivery,Indomie Goreng Pedas,makanan,mie-goreng,9000,9000,QRIS,450,8550
32,32,7/17/22,93,Heru Putra,M,34,5,3,QRIS-DANA,Delivery,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,27000,QRIS,1350,25650
33,33,1/25/22,75,Irvan Hartanto,M,37,3,2,QRIS-DANA,Delivery,Indomie Baso Sapi,makanan,mie-kuah,12000,24000,QRIS,1200,22800
34,34,1/11/22,74,Mei Kurnia,F,26,10,1,CASH,Delivery,indomie Kari Ayam,makanan,mie-kuah,12000,12000,CASH,0,12000
35,35,5/20/22,7,Harry Prabowo,M,42,7,1,CASH,Dine-In,Indomie Goreng Rendang,makanan,mie-goreng,9000,9000,CASH,0,9000
36,36,6/7/22,72,Eka Wulandari,F,30,9,2,QRIS-DANA,Dine-In,Indomie Goreng Spesial,makanan,mie-goreng,9000,18000,QRIS,900,17100
37,37,7/3/22,95,Aldi Hartanto,M,37,13,2,QRIS-GOPAY,Dine-In,Indomie Rasa Sop Buntut,makanan,mie-kuah,12000,24000,QRIS,1200,22800
38,38,2/9/22,14,Rika Kurnia,F,26,1,2,QRIS-DANA,Dine-In,indomie Ayam Bawang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
39,39,1/19/22,61,Reza Wijaya,M,28,7,3,QRIS-SHOPEEPAY,Delivery,Indomie Goreng Rendang,makanan,mie-goreng,9000,27000,QRIS,1350,25650
40,40,3/24/22,69,Rizki Surya,M,33,1,2,QRIS-OVO,Dine-In,indomie Ayam Bawang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
41,41,6/30/22,46,Rita Susanti,F,29,16,3,QRIS-OTHERS,Delivery,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,36000,QRIS,1800,34200
42,42,7/1/22,90,Tini Sari,F,22,5,3,QRIS-OVO,Delivery,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,27000,QRIS,1350,25650
43,43,6/15/22,80,Niken Kusuma,F,24,10,2,CASH,Delivery,indomie Kari Ayam,makanan,mie-kuah,12000,24000,CASH,0,24000
44,44,4/13/22,95,Aldi Hartanto,M,37,17,2,QRIS-OTHERS,Delivery,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
45,45,3/16/22,25,Fajar Setiawan,M,35,10,1,QRIS-OVO,Dine-In,indomie Kari Ayam,makanan,mie-kuah,12000,12000,QRIS,600,11400
46,46,3/22/22,38,Ria Aulia,F,23,18,2,QRIS-OVO,Dine-In,Indomie Soto Mie,makanan,mie-kuah,12000,24000,QRIS,1200,22800
47,47,7/28/22,22,Erni Rahmawati,F,31,17,2,QRIS-SHOPEEPAY,Delivery,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
48,48,1/5/22,45,Arif Setiawan,M,35,6,1,QRIS-GOPAY,Delivery,Indomie Goreng Pedas,makanan,mie-goreng,9000,9000,QRIS,450,8550
49,49,2/4/22,89,Feri Surya,M,33,6,2,QRIS-OVO,Delivery,Indomie Goreng Pedas,makanan,mie-goreng,9000,18000,QRIS,900,17100
50,50,2/22/22,18,Lusi Aulia,F,23,6,1,QRIS-SHOPEEPAY,Delivery,Indomie Goreng Pedas,makanan,mie-goreng,9000,9000,QRIS,450,8550
51,51,6/6/22,51,Rahmat Nugroho,M,38,15,2,QRIS-DANA,Delivery,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,24000,QRIS,1200,22800
